run_tag,generation,ind_id,origin,parent_a,parent_b,fitness,nodes_in,edges_in,none_removed,comp_removed_nodes,face_collisions_skipped,multi_parent_skipped,unreached_removed,nodes_out,edges_out,raw_graph_path,san_graph_path,video_recorded
20251008_161002,1,10,mut(elite),1,1,-5.771756765667185,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind10.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind10.json,False
20251008_161002,1,11,"cx(elite,9)",1,9,-5.771756765667185,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind11.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind11.json,False
20251008_161002,1,12,"cx(elite,8)",1,8,-5.771756765667185,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind12.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind12.json,False
20251008_161002,1,13,"cx(elite,18)",1,18,-5.771756765667185,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind13.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind13.json,False
20251008_161002,1,14,"cx(elite,15)",1,15,-5.771756765667185,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind14.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind14.json,False
20251008_161002,1,15,"cx(elite,7)",1,7,-5.779593034509624,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind15.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind15.json,False
20251008_161002,1,16,"cx(elite,19)",1,19,-5.779593034509624,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind16.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind16.json,False
20251008_161002,1,17,"cx(elite,5)",1,5,-5.771756765667185,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind17.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind17.json,False
20251008_161002,1,18,"cx(elite,10)",1,10,-5.771756765667185,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind18.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind18.json,False
20251008_161002,1,19,"cx(elite,0)",1,0,-5.779593034509624,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind19.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind19.json,False
20251008_161002,1,0,elite_video,,,-5.771756765667185,,,,,,,,,,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_elite_ind0.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_elite_ind0.json,True
20251008_161002,2,0,elite,0,0,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind0.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind0.json,False
20251008_161002,2,1,mut(elite),0,0,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind1.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind1.json,False
20251008_161002,2,2,mut(elite),0,0,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind2.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind2.json,False
20251008_161002,2,3,mut(elite),0,0,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind3.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind3.json,False
20251008_161002,2,4,mut(elite),0,0,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind4.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind4.json,False
20251008_161002,2,5,mut(elite),0,0,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind5.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind5.json,False
20251008_161002,2,6,mut(elite),0,0,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind6.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind6.json,False
