gen,ind,is_viable,graph_sig,nu,fitness,best_prog,from_cache,eval_budget
1,0,False,5fe9a426eba0543e9a7b3b38b4b3a33dc3cc15c5,0,-1000000.0,0.0,False,NA
1,1,False,c84983f65b4b621dd647e48fea37639ac847cd4f,0,-1000000.0,0.0,False,NA
1,2,False,62bba7973643cd4a147437fe9a13aedfe7ee4d7d,0,-1000000.0,0.0,False,NA
1,3,False,76a89cf0145f511bb736a2597246ae96d431a830,0,-1000000.0,0.0,False,NA
1,4,False,2f59a84d5db72e3ef5eaa500481bb129328745dd,0,-1000000.0,0.0,False,NA
1,5,False,2eec09dd6a8157f52f7ec072a0a4535d47929c25,0,-1000000.0,0.0,False,NA
1,6,False,567f11312ede524ed1953dc42987b0f791e5120b,0,-1000000.0,0.0,False,NA
1,7,False,4432848ab79cac30646446a1b74e55d147fac9ad,0,-1000000.0,0.0,False,NA
1,8,False,9ca486d9f921ba3cf4b00778f73f47e659f14224,0,-1000000.0,0.0,False,NA
1,9,False,532a053c6380ec15516cb8794e74de9940d6a07b,0,-1000000.0,0.0,False,NA
1,10,False,5be88e24045b29c97949b8a97db6245cba173483,0,-1000000.0,0.0,False,NA
1,11,False,22d97cce42b08d30daf0723d1561c2da3c0be619,0,-1000000.0,0.0,False,NA
1,12,False,bce73c9b9684cd288e50a7c514a51faed483e2d3,0,-1000000.0,0.0,False,NA
1,13,False,5a318b74bf28715560758a79ebe4bad209774d27,0,-1000000.0,0.0,False,NA
1,14,False,049bf3fa672237efb3e4a1f7b40ed30323dff244,0,-1000000.0,0.0,False,NA
1,15,False,df4e5196b8081876f498795883e786a7791c09e4,0,-1000000.0,0.0,False,NA
1,16,False,89587db68a583086538dcdd68d18d1efb6b72a55,0,-1000000.0,0.0,False,NA
1,17,False,789d0be6290552a133a6c8a8e075dace5181d9be,0,-1000000.0,0.0,False,NA
1,18,False,eaff12237d870f4b5439d7fe7dcc4a21e7e7a1ec,0,-1000000.0,0.0,False,NA
1,19,False,5161ff9dea64df549b32c4650af32898a631c9bf,0,-1000000.0,0.0,False,NA
2,0,False,ffc861fb7f8113bbcbd3e20590a2c90f20b7a677,0,-1000000.0,0.0,False,NA
